quantile,value,type,location,target,forecast_date,target_end_date
0.100,144,quantile,01,2 wk ahead inc death,2020-12-06,2020-12-19
0.150,166,quantile,01,2 wk ahead inc death,2020-12-06,2020-12-19
0.200,183,quantile,01,2 wk ahead inc death,2020-12-06,2020-12-19
0.250,196,quantile,01,2 wk ahead inc death,2020-12-06,2020-12-19
0.300,209,quantile,01,2 wk ahead inc death,2020-12-06,2020-12-19
0.350,222,quantile,01,2 wk ahead inc death,2020-12-06,2020-12-19
0.400,237,quantile,01,2 wk ahead inc death,2020-12-06,2020-12-19
0.450,256,quantile,01,2 wk ahead inc death,2020-12-06,2020-12-19
0.500,272,quantile,01,2 wk ahead inc death,2020-12-06,2020-12-19
,272,point,01,2 wk ahead inc death,2020-12-06,2020-12-19
0.550,284,quantile,01,2 wk ahead inc death,2020-12-06,2020-12-19
0.600,301,quantile,01,2 wk ahead inc death,2020-12-06,2020-12-19
0.650,320,quantile,01,2 wk ahead inc death,2020-12-06,2020-12-19
0.700,338,quantile,01,2 wk ahead inc death,2020-12-06,2020-12-19
0.750,364,quantile,01,2 wk ahead inc death,2020-12-06,2020-12-19
0.800,388,quantile,01,2 wk ahead inc death,2020-12-06,2020-12-19
0.850,419,quantile,01,2 wk ahead inc death,2020-12-06,2020-12-19
0.900,458,quantile,01,2 wk ahead inc death,2020-12-06,2020-12-19
0.950,513,quantile,01,2 wk ahead inc death,2020-12-06,2020-12-19
0.975,564,quantile,01,2 wk ahead inc death,2020-12-06,2020-12-19
0.990,638,quantile,01,2 wk ahead inc death,2020-12-06,2020-12-19
0.010,97,quantile,01,3 wk ahead inc death,2020-12-06,2020-12-26
0.025,115,quantile,01,3 wk ahead inc death,2020-12-06,2020-12-26
0.050,136,quantile,01,3 wk ahead inc death,2020-12-06,2020-12-26
0.100,159,quantile,01,3 wk ahead inc death,2020-12-06,2020-12-26
0.150,179,quantile,01,3 wk ahead inc death,2020-12-06,2020-12-26
